Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
887-1292-1-ND,TXC CORPORATION (VA),7B-12.000MEEQ-T,REF148,1,
490-3266-1-ND,MURATA ELECTRONICS (VA),GRM155R60J474KE19D,REF136,1,
490-3266-1-ND,MURATA ELECTRONICS (VA),GRM155R60J474KE19D,REF136,2,
478-1125-1-ND,AVX CORPORATION (VA),0402YD473KAT2A,REF137,6,
399-7335-1-ND,KEMET (VA),C0402C159B5GACTU,REF135,1,
PCD1926CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ELJ-RF1N8DFB,REF142,1,
399-1004-1-ND,KEMET (VA),C0402C209C5GACTU,REF134,1,
490-1696-1-ND,MURATA ELECTRONICS (VA),GRM21BR71A225KA01L,REF139,1,
399-1014-1-ND,KEMET (VA),C0402C150J5GACTU,REF133,1,
PCD2006CT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ELJ-RE22NGFA,REF141,1,
541-330JCT-ND,VISHAY DALE (VA),CRCW0402330RJNED,REF102,2,
428-1933-ND,CYPRESS SEMICONDUCTOR CORP,CYRF69103-40LFXC,REF156,1,
160-1435-1-ND,LITE-ON INC (VA),LTST-C190KGKT,REF114,1,
160-1647-1-ND,LITE-ON INC (VA),LTST-C191TBKT,REF104,1,
*,*,*,GND/IRQ/MISO/MOSI/SCK/SCLK/SDATA/VCC/VCC_JMP/VDD/_SS,11,*** PART# '*' NOT FOUND : GND/IRQ/MISO/MOSI/SCK/SCLK/SDATA/VCC/VCC_JMP/VDD/_SS
